,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
439,56113,Emma Aastrand Jrgensen,F,20.0,169.0,70.0,Denmark,DEN,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
442,56356,Nicolae Juravschi,M,31.0,175.0,75.0,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver
448,57096,Zoltn Kammerer,M,34.0,180.0,81.0,Hungary,HUN,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
450,57602,Sven Tommy Karls,M,22.0,181.0,85.0,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
451,57624,Eva Gunilla Karlsson (-Ohlsson),F,22.0,174.0,68.0,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
452,57824,Ilse Kaschube (-Zeisler),F,19.0,166.0,65.0,East Germany,GDR,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
453,58055,Reinhold Kauder,M,22.0,172.0,75.0,West Germany,FRG,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Silver
454,58113,Peter Kauzer,M,32.0,177.0,70.0,Slovenia,SLO,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Silver
458,58617,Imre Kemecsey,M,19.0,167.0,75.0,Hungary,HUN,1960 Summer,1960,Summer,Roma,Canoeing,Canoeing Men's Kayak Relay 4 x 500 metres,Silver
469,60764,Serhiy Fedorovych Kirsanov,M,25.0,180.0,80.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
472,61150,"Theodor ""Theo"" Kleine",M,32.0,180.0,89.0,Germany,GER,1956 Summer,1956,Summer,Melbourne,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",Silver
474,61177,Ivans Klementjevs,M,31.0,176.0,80.0,Latvia,LAT,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
475,61177,Ivans Klementjevs,M,35.0,176.0,80.0,Latvia,LAT,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
476,61455,Slavomr Kazovick,M,29.0,191.0,98.0,Slovakia,SVK,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Silver
477,61598,Kim Wraae Knudsen,M,30.0,183.0,80.0,Denmark,DEN,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
478,61650,Rita Kbn,F,23.0,174.0,69.0,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
479,61650,Rita Kbn,F,27.0,174.0,69.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
483,61650,Rita Kbn,F,35.0,174.0,69.0,Hungary,HUN,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
493,62901,Tatyana Vasilyevna Korshunova,F,20.0,162.0,60.0,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
496,63131,Aleksandr Viktorovich Kostoglod,M,30.0,185.0,90.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
497,63131,Aleksandr Viktorovich Kostoglod,M,34.0,185.0,90.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver
500,63400,Katalin Kovcs,F,24.0,173.0,64.0,Hungary,HUN,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
